Country Name,Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Aruba,ABW,,6.079999924,,,6.449999809,,,7.449999809,,,6.920000076,6.900000095,,,,,,5.710000038,,,10.60000038,8.899999619,,,,,,,
Afghanistan,AFG,,,,,,,,,,,,,,,,,,,2.494499922,,,,1.691900015,,,,,,
Angola,AGO,,,,,,,,,,,,,,,23.6427002,,,,,,9.430000305,,,,0.029999999,,,,
Albania,ALB,9.5,9.100000381,26.5,22.29999924,18.39999962,12.89999962,12.30000019,14.89999962,17.70000076,18.39999962,16.79999924,16.39999962,15.80000019,15,14.39999962,14.10000038,13.80000019,15.96630001,13.05990028,13.67389965,14.08600044,13.48089981,13.37590027,15.86590004,17.48999977,17.07999992,,13.75,
Andorra,AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,,,,,,,,,,,,,,,,,10.53621148,9.705205193,9.952565113,9.559221462,9.347947241,,10.72073817,,,,,,
United Arab Emirates,ARE,,,,,,1.799999952,,,,,2.25,,,,,3.119999886,,,,,,,,,,,1.635501981,2.463000059,
Argentina,ARG,7.059999943,,6.360000134,10.10000038,11.76000023,18.79999924,17.11000061,14.81999969,12.64999962,14.05000019,15,17.31999969,19.59000015,15.35999966,13.52210045,11.50590038,10.07750034,8.470000267,7.83739996,8.645299911,,,,,,,,8.347399712,
Armenia,ARM,,,1.799999952,5.300000191,6.599999905,6.699999809,9.300000191,10.80000019,9.399999619,11.19999981,,,,,,,,9.812299728,16.36750031,18.73999977,19.00799942,,17.30999947,16.17889977,,,,17.7045002,
American Samoa,ASM,5.110000134,,,,,,,,,,5.050000191,,,,,9.979999542,,,,,9.199999809,,,,,,,,
Antigua and Barbuda,ATG,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,6.926000118,9.579199791,10.72879982,10.87380028,9.718700409,8.46930027,8.506199837,8.362199783,7.675600052,6.872300148,6.282599926,6.742300034,6.367599964,5.92869997,5.39470005,5.03249979,4.782299995,4.376999855,4.234200001,5.56069994,5.211299896,5.081200123,5.224500179,5.663099766,6.078299999,6.055699825,5.710800171,5.593800068,
Austria,AUT,,,,,,,,,,,,,,,,,,,,5.301400185,4.820000172,4.563799858,4.864999771,5.334799767,5.619699955,5.722700119,6.013800144,5.499000072,
Azerbaijan,AZE,,0.109999999,0.170000002,0.519999981,0.649999976,0.800000012,0.899999976,1.029999971,1.129999995,,,,,,,,,,,5.739999771,5.630000114,5.420000076,5.190000057,4.96999979,4.909999847,4.960000038,5,5,
Burundi,BDI,0.479999989,,,,,,,,,14,,,,,,,,,1.633574486,,,,,,1.570000052,,,,
Belgium,BEL,,,,,,,,,,,,,,,7.363399982,8.440199852,8.245900154,7.457900047,6.975599766,7.907599926,8.292499542,7.1395998,7.541699886,8.425299644,8.52270031,8.482000351,7.829699993,7.086200237,
Benin,BEN,,,1.50999999,,,,,,,,,,0.689999998,,,,,,,,1.039999962,2.646500111,,,,,,,
Burkina Faso,BFA,,,,,2.579999924,,,,2.440000057,,,,,2.779999971,,4,,3.299999952,,,,,,,6.479499817,,,,
Bangladesh,BGD,,2.200000048,,,,,2.50999999,,,,3.269999981,,,4.320000172,,4.25,3.590600014,,,5,3.378900051,,,4.426199913,,,4.349999905,4.372300148,
Bulgaria,BGR,1.700000048,11.10000038,15.30000019,16.39999962,12.80000019,11.10000038,12.5,,,,,,,,,,,,,6.816599846,10.27939987,11.25959969,12.26990032,12.94079971,11.42380047,9.143300056,7.57460022,6.164400101,
Bahrain,BHR,,,,,,,,,,,,,,,,,,5.599999905,3.700000048,4,,4,,,,,,,
"Bahamas, The",BHS,7.769999981,12.17000008,14.81000042,12.72000027,13.82999992,10.82999992,11.46000004,9.760000229,7.650000095,7.449999809,,6.869999886,9.050000191,10.84000015,10.19999981,10.19999981,7.539999962,7.880000114,8.180000305,14.25,,14.52000046,14.02000046,16.18000031,13.80000019,12,12.69999981,,
Bosnia and Herzegovina,BIH,,,,,,,,,,,,,,,,,31.10989952,28.9843998,23.40530014,24.06769943,27.3118,27.58189964,28.01029968,27.45000076,27.51720047,27.64999962,25.40999985,20.46999931,
Belarus,BLR,,0.050000001,0.5,1.399999976,2.099999905,2.900000095,4,2.799999952,2.299999952,2.099999905,2.099999905,2.299999952,3,3.099999905,1.899999976,1.5,1.200000048,1,0.800000012,6.099999905,,0.600000024,0.5,0.5,0.5,1,5.840000153,5.650000095,
Belize,BLZ,,,,9.779999733,11.10000038,12.47999954,13.81999969,12.68000031,14.31000042,12.84000015,,9.069999695,10.03999996,,,10.90999985,9.390000343,8.510000229,8.180000305,,,,14.27000046,8.349100113,8.243900299,7.578199863,7.909999847,6.595499992,
Bermuda,BMU,,,,,,,,,,,2.710000038,,,,,,,,,4.480000019,6.489999771,,8.43999958,6.659999847,8.93999958,,,,
Bolivia,BOL,,6.590000153,,5.989999771,3.079999924,3.690000057,5.230000019,2.079999924,,3.930000067,4.46999979,,,,,,,,2.603399992,2.863399982,,2.218600035,2.047899961,2.393899918,2.006500006,3.065999985,3.055999994,3.232800007,
Brazil,BRA,,,6.420000076,6.03000021,,6.420499802,7.253399849,8.158399582,9.422800064,10.20829964,,9.6104002,9.370900154,9.991000175,9.105199814,9.567700386,8.639499664,8.327300072,7.342599869,8.522100449,,6.916999817,,,,,11.60949993,12.82730007,
Barbados,BRB,8.159999847,7.519999981,22.94000053,24.54000092,22.97999954,19.65999985,14.71000004,14.60999966,12.39999962,10.60999966,9.350000381,9.850000381,10.31999969,11,9.569999695,9.079999924,8.729999542,7.409999847,8.119999886,10.02000046,10.68999958,11.18999958,11.59000015,11.55000019,12.17000008,11.35000038,9.720000267,,
Brunei Darussalam,BRN,,4.699999809,,,,,,,,,,,,,,,,,,,,,,,6.965099812,,,,
Bhutan,BTN,,,,,,,,,1.399999976,1.399999976,,1.899999976,,1.799999952,2.49000001,,3.130000114,3.700000048,,3.960000038,3.319999933,3.230000019,2.049999952,2.869999886,2.630000114,2.450000048,,,
Botswana,BWA,,13.81999969,,,,,21.57999992,,20.86000061,,15.88000011,18.54000092,,23.79999924,,,17.79999924,,,16.1692009,17.86000061,,,,,,,,
Central African Republic,CAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,CAN,8.131099701,,11.19699955,11.37689972,10.39519978,9.488900185,,9.100500107,8.278499603,7.583099842,6.828700066,,7.664800167,7.573800087,7.185299873,6.758100033,6.320300102,6.036099911,6.13710022,8.343999863,8.055500031,,7.291800022,7.073599815,6.91410017,6.906499863,6.998899937,6.339700222,
Central Europe and the Baltics,CEB,,,10.56224874,,12.23264405,11.41859,10.54176235,9.224959084,9.051671519,10.6613115,12.56163797,12.7497591,,14.5511006,13.67041117,12.82999586,10.66818391,8.2145959,6.981925522,8.488824534,9.901967619,9.789452241,9.978224158,10.0460624,8.951639025,7.816352178,6.488548429,5.293790484,
Switzerland,CHE,,,,,,,,,,,,,,,,,,,,4.116099834,4.80670023,4.407599926,4.484600067,4.74669981,4.825900078,4.800700188,4.917900085,4.796700001,
Channel Islands,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,,5.230000019,,4.489999771,,4.699999809,,7.136000156,,11.15799999,,10.39000034,10.16800022,,10.1619997,9.340000153,,8.427000046,9.284999847,,8.424300194,,6.659399986,,6.664899826,,6.738200188,6.958099842,
China,CHN,2.5,2.299999952,2.299999952,2.599999905,2.799999952,2.900000095,3,3.099999905,3.099999905,3.099999905,3.099999905,3.599999905,4,4.300000191,4.199999809,4.199999809,4.099999905,4,4.199999809,4.300000191,4.099999905,4.099999905,4.099999905,4.050000191,4.099999905,,,3.900000095,
Cote d'Ivoire,CIV,,,6.699999809,,,4.099999905,,,4.099999905,,,,,,,,,,,,,,7.222899914,4.254499912,,,2.59920001,,
Cameroon,CMR,,,,,,,8.06000042,,,,,7.460000038,,,,4.400000095,,,,,4.110000134,,,,3.533799887,,,,
"Congo, Dem. Rep.",COD,,,,,,,,,,,,,,,,2.849100113,,,,,,,4.485199928,,,,,,
"Congo, Rep.",COG,,,,,,,,,,,,,,,,19.79560089,,,,16.10000038,,,10,,,,,,
Colombia,COL,,10.11999989,9.43999958,,8.25,8.720000267,11.81000042,12.14000034,15,20.05999947,20.52000046,15.03999996,15.63300037,14.18900013,13.71700001,11.86999989,,11.20400047,11.27299976,12.06599998,10.98400021,10.11089993,9.74050045,9.051699638,8.572199821,8.298999786,8.691800117,8.87250042,
Comoros,COM,,,,,,,,,,,,,,,4.571400166,,,,,,,,,,,,,,
Cabo Verde,CPV,23,,,,,,,,,,,,,,,,,,,,10.67000008,,,,,31.31270027,,12.23999977,
Costa Rica,CRI,4.511000156,5.373000145,3.927000046,3.953999996,4.045000076,5.176000118,6.162000179,5.681000233,5.327000141,5.894999981,5.081999779,5.914999962,6.334000111,6.558000088,6.390999794,6.571000099,5.739999771,4.489999771,4.781000137,7.712999821,7.170800209,10.13939953,,,,,,,
Caribbean small states,CSS,,15.66699417,16.54601213,17.17848148,16.16002945,15.69398741,15.26756851,14.95577734,14.08302026,13.95910712,,12.85387564,12.29319812,11.61726483,10.58729598,10.38226992,9.236477887,8.432858366,8.72811701,9.920923771,9.410079604,10.24075645,11.14638479,11.43210572,10.14039833,10.31054981,10.48226929,,
