,Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Albania,ALB,18.23399925,17.86300087,17.9489994,17.91399956,17.70700073,17.32600021,16.83600044,16.39999962,13.75300026,15.73499966,15.88199997,13.76200008,11.47200012,13.35700035,15.17000008,17.09700012,14.56599998,12.57299995
Argentina,ARG,16.35300064,17.19199944,18.82500076,17.57099915,15.81700039,13.58600044,12.42000008,10.57199955,9.743000031,9.868000031,9.211999893,8.508999825,8.828000069,8.498999596,8.394000053,8.753000259,9.163000107,9.475000381
Australia,AUS,6.059999943,6.44299984,6.160999775,5.979000092,5.535999775,5.221000195,4.922999859,4.787000179,4.572999954,5.400000095,5.376999855,5.306000233,5.327000141,5.610000134,6.172999859,6.072000027,5.78000021,5.669000149
Austria,AUT,4.593999863,4.127999783,4.526000023,4.336999893,5.893000126,5.857999802,5.603000164,5.301000118,4.410999775,5.085000038,4.629000187,4.584000111,4.785999775,5.294000149,5.381999969,5.308000088,5.544000149,5.032000065
Belgium,BEL,8.281999588,6.922999859,7.798999786,7.995999813,8.282999992,9.512000084,9.31400013,8.447999954,7.599999905,8.105999947,8.515999794,7.179999828,7.40899992,8.170000076,7.940000057,7.768000126,7.559999943,7.053999901
Benin,BEN,0.488000005,0.442999989,0.426999986,0.497000009,0.574000001,0.620000005,0.65200001,0.643000007,0.716000021,0.986999989,1.146000028,2.871999979,2.960000038,2.90899992,2.747999907,2.635999918,2.604000092,2.336999893
Bangladesh,BGD,3.332000017,3.704999924,4.221000195,4.840000153,5.981999874,7.065000057,6.471000195,6.47300005,6.526000023,7.369999886,4.434000015,5.43900013,6.456999779,7.585000038,7.486000061,7.47300005,7.359000206,6.731999874
Bulgaria,BGR,15.81200027,18.85700035,17.35899925,13.19099998,11.62100029,9.833000183,9.300999641,7.291999817,5.760000229,6.620999813,9.605999947,10.10700035,10.83899975,11.84399986,10.40400028,8.416000366,6.967999935,5.946000099
Bosnia and Herzegovina,BIH,30.33099937,31.11100006,32.20399857,32.95600128,33.71500015,34.23799896,34.67699814,32.71699905,26.63800049,25.59799957,29.87800026,29.89500046,30.61100006,28.90999985,31.14599991,30.65999985,30.07500076,23.05800056
Belize,BLZ,17.81699944,15.50300026,15.16300011,16.17000008,16.82900047,17.20000076,15.00699997,13.02700043,12.91899967,15.61299992,17.92399979,19.79199982,22.22999954,19.29299927,19.71500015,15.07600021,13.58199978,15.40299988
Bolivia,BOL,4.061999798,4.132999897,4.19299984,4.257999897,4.255000114,4.073999882,3.780999899,3.49000001,3.39199996,3.453999996,3.048000097,2.667999983,2.798000097,2.970000029,2.842999935,3.79399991,4.052999973,3.835000038
Brazil,BRA,12.79699993,12.2130003,11.85299969,12.65699959,11.97900009,12.52799988,11.36800003,11.12800026,9.940999985,11.35900021,10.42500019,9.434000015,9.06400013,8.777999878,8.12100029,10.06499958,13.46800041,14.72399998
Canada,CAN,6.693999767,6.855000019,7.123000145,7.156000137,6.852000237,6.462999821,6.092000008,5.647999763,5.649000168,7.006999969,7.232999802,7.006999969,6.820000172,6.596000195,6.388999939,6.28399992,6.237999916,5.848999977
Central Europe and the Baltics,CEB,12.98455284,13.64467149,14.05329319,13.298912,13.12381896,12.70141333,10.61123265,8.203372229,6.982615846,8.461600314,9.818984191,9.885543616,10.13564445,10.23952808,9.165912267,7.904689774,6.440585396,5.257534926
Switzerland,CHE,3.130000114,3.457000017,3.095999956,4.486000061,4.763000011,5.09100008,4.709000111,4.513000011,3.96600008,4.519999981,5.188000202,4.800000191,4.729000092,4.918000221,4.986000061,4.912000179,5.006000042,5.058000088
Chile,CHL,12.47399998,11.92700005,11.80099964,12.01900005,13.00399971,12.27400017,11.75399971,10.88000011,12.12100029,13.41499996,9.918999672,8.873000145,8.142000198,7.181000233,7.126999855,7.142000198,7.264999866,7.459000111
Cote d'Ivoire,CIV,4.678999901,4.929999828,5.318999767,5.410999775,5.618000031,5.714000225,5.725999832,5.614999771,5.691999912,6.556000233,6.823999882,7.181000233,7.343999863,5.215000153,4.551000118,3.941999912,3.355999947,3.213999987
Cameroon,CMR,6.68200016,6.69299984,6.375999928,5.919000149,5.224999905,4.606999874,3.993999958,3.50999999,3.63499999,4.349999905,4.901000023,4.717999935,4.493999958,4.328999996,4.048999786,4.054999828,3.964999914,3.811000109
Colombia,COL,25.12199974,19.43300056,20.04700089,18.68899918,18.0529995,15.91600037,15.34300041,14.84799957,14.80300045,15.87100029,14.22099972,13.12199974,12.68200016,11.68799973,11.04699993,10.8579998,11.21899986,11.52600002
Costa Rica,CRI,6.642000198,7.388999939,7.763000011,7.995999813,8.291999817,9.31799984,8.357000351,6.756000042,5.877999783,9.595000267,9.088000298,12.72500038,11.61299992,10.4090004,11.2489996,11.15400028,10.84000015,10.29500008
Cyprus,CYP,7.447000027,5.815999985,4.214000225,4.599999905,5.478000164,6.53399992,5.434000015,4.59800005,4.252999783,5.472000122,6.421000004,7.624000072,11.02299976,15.12899971,15.01900005,14.76599979,13.33300018,11.26900005
Czech Republic,CZE,10.53600025,9.612000465,8.557999611,9.645000458,9.652000427,9.789999962,8.842000008,6.736000061,5.609000206,7.727000237,8.454999924,7.894999981,8.206000328,8.286999702,7.394999981,6.073999882,4.670000076,3.578999996
