Country Name,Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Malaysia,MYS,4.50,3.31,3.71,4.11,2.58,3.15,2.52,2.45,3.20,3.43,3.00,3.53,3.48,3.61,3.54,3.53,3.32,3.23,3.34,3.69,3.25,3.05,3.04,3.11,2.88,3.10,3.44,3.41
Aruba,ABW,6.08,6.08,6.17,6.26,6.45,6.70,6.95,7.45,7.05,6.99,6.92,6.90,6.80,6.50,6.40,6.30,6.20,5.71,7.00,8.00,10.60,8.90,8.70,8.60,8.50,8.40,8.30,8.20
Albania,ALB,9.50,9.10,26.50,22.30,18.40,12.90,12.30,14.90,17.70,18.40,16.80,16.40,15.80,15.00,14.40,14.10,13.80,15.97,13.06,13.67,14.09,13.48,13.38,15.87,17.49,17.08,16.67,13.75
Arab World,ARB,10.53,10.51,10.49,10.47,10.45,10.43,10.40,10.38,10.36,10.34,10.32,10.30,10.27,10.25,10.23,10.21,10.53,9.71,9.95,9.56,9.34,11.20,10.74,10.28,10.65,9.90,9.63,9.36
Argentina,ARG,7.06,5.00,6.36,10.10,11.76,18.80,17.11,14.82,12.65,14.05,15.00,17.32,19.59,15.36,13.52,11.51,10.08,8.47,7.84,8.65,8.49,8.58,8.67,8.76,8.84,8.93,9.02,8.35
Armenia,ARM,5.30,2.80,1.80,5.30,6.60,6.70,9.30,10.80,9.40,11.20,10.87,11.07,11.27,11.47,10.81,9.81,9.21,9.81,17.86,18.44,19.01,18.42,17.30,16.18,15.33,14.36,13.40,12.44
Australia,AUS,6.93,9.58,10.73,10.87,9.72,8.47,8.51,8.36,7.68,6.87,6.28,6.74,6.37,5.93,5.39,5.03,4.78,4.38,4.23,5.56,5.21,5.08,5.22,5.66,6.08,6.05,5.71,5.59
Austria,AUT,2.80,2.57,2.70,2.82,2.95,3.07,3.20,3.32,3.44,3.57,3.69,3.82,3.94,4.06,4.19,4.31,4.44,4.56,4.68,5.30,4.82,4.56,4.86,5.33,5.62,5.72,6.01,5.50
Azerbaijan,AZE,0.11,0.11,0.17,0.52,0.65,0.80,0.90,1.03,1.13,1.35,1.50,1.65,1.80,1.95,2.10,2.25,2.41,2.56,2.71,5.75,5.67,5.52,5.27,5.06,4.94,4.88,4.98,5.00
Bangladesh,BGD,2.20,2.20,2.20,2.20,2.20,2.20,2.51,2.51,2.51,2.51,3.27,3.27,3.27,4.32,4.32,4.25,3.59,3.59,3.59,5.00,3.38,3.38,3.38,4.43,4.43,4.43,4.35,4.37
Bulgaria,BGR,1.70,11.10,15.30,16.40,12.80,11.10,12.50,13.98,13.71,13.45,13.19,12.92,12.66,12.40,12.13,11.87,11.61,11.34,11.08,6.82,10.28,11.26,12.27,12.94,11.42,9.14,7.57,6.16
Bahrain,BHR,5.60,5.60,5.60,5.60,5.60,5.60,5.60,5.60,5.60,5.60,5.60,5.60,5.60,5.60,5.60,5.60,5.60,5.60,3.70,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00
"Bahamas, The",BHS,7.77,12.17,14.81,12.72,13.83,10.83,11.46,9.76,7.65,7.45,7.45,6.87,9.05,10.84,10.20,10.20,7.54,7.88,8.18,14.25,11.16,14.52,14.02,16.18,13.80,12.00,12.70,13.40
Belarus,BLR,0.60,0.05,0.50,1.40,2.10,2.90,4.00,2.80,2.30,2.10,2.10,2.30,3.00,3.10,1.90,1.50,1.20,1.00,0.80,6.10,0.63,0.60,0.50,0.50,0.50,1.00,5.84,5.65
Belize,BLZ,9.78,9.78,9.78,9.78,11.10,12.48,13.82,12.68,14.31,12.84,11.37,9.07,10.04,10.40,10.76,10.91,9.39,8.51,8.18,9.90,11.62,13.34,14.27,8.35,8.24,7.58,7.00,6.60
Bermuda,BMU,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,6.49,6.49,8.44,6.66,8.94,8.51,8.76,9.01
Bolivia,BOL,6.59,6.59,6.59,5.99,3.08,3.69,5.23,2.08,3.39,3.93,4.47,3.42,3.30,3.17,3.05,1.82,2.08,2.34,2.60,2.86,3.12,2.22,2.05,2.39,2.01,3.07,2.84,3.01
Brazil,BRA,6.80,6.60,6.42,6.03,6.20,6.42,7.25,8.16,9.42,10.21,9.85,9.61,9.37,9.99,9.11,9.57,8.64,8.33,7.34,8.52,7.53,6.92,6.74,7.96,9.17,10.39,11.61,12.83
Barbados,BRB,8.16,7.52,22.94,24.54,22.98,19.66,14.71,14.61,12.40,10.61,9.35,9.85,10.32,11.00,9.57,9.08,8.73,7.41,8.12,10.02,10.69,11.19,11.59,11.55,12.17,11.35,9.72,10.89
Bhutan,BTN,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.90,1.11,1.80,2.49,3.98,3.13,3.70,3.80,3.96,3.32,3.23,2.05,2.87,2.63,2.45,2.03,1.81
Botswana,BWA,13.82,13.82,13.82,13.82,13.82,13.82,21.58,21.58,20.86,20.86,15.88,18.54,18.54,23.80,23.80,23.80,17.80,17.80,17.80,16.17,17.86,17.86,17.86,17.86,17.86,17.86,17.86,17.86
Canada,CAN,8.13,10.32,11.20,11.38,10.40,9.49,9.62,9.10,8.28,7.58,6.83,7.22,7.66,7.57,7.19,6.76,6.32,6.04,6.14,8.34,8.06,7.51,7.29,7.07,6.91,6.91,7.00,6.34
Central Europe and the Baltics,CEB,10.00,10.00,10.56,11.00,12.23,11.42,10.83,9.40,9.05,10.66,12.56,12.75,12.94,14.55,13.67,12.83,10.67,8.21,6.98,8.49,9.90,9.79,9.98,10.05,8.95,7.82,6.49,5.29
Switzerland,CHE,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.81,4.41,4.48,4.75,4.83,4.80,4.92,4.80
Chile,CHL,5.46,5.23,5.00,4.49,4.17,4.70,4.66,7.14,7.94,11.16,10.61,10.39,10.17,9.95,10.16,9.34,8.52,8.43,9.28,8.60,8.42,6.63,6.66,6.59,6.66,6.80,6.74,6.96
China,CHN,2.50,2.30,2.30,2.60,2.80,2.90,3.00,3.10,3.10,3.10,3.10,3.60,4.00,4.30,4.20,4.20,4.10,4.00,4.20,4.30,4.10,4.10,4.10,4.05,4.10,4.08,4.08,3.90
Cameroon,CMR,8.06,8.06,8.06,8.06,8.06,8.06,8.06,8.06,8.06,8.06,8.06,7.46,7.46,7.46,7.46,4.40,4.40,4.40,4.40,4.40,4.11,4.11,4.11,4.11,3.53,3.53,3.53,3.53
Colombia,COL,10.80,10.12,9.44,8.76,8.25,8.72,11.81,12.14,15.00,20.06,20.52,15.04,15.63,14.19,13.72,11.87,11.52,11.20,11.27,12.07,10.98,10.11,9.74,9.05,8.57,8.30,8.69,8.87
Comoros,COM,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57
Costa Rica,CRI,4.51,5.37,3.93,3.95,4.05,5.18,6.16,5.68,5.33,5.89,5.08,5.91,6.33,6.56,6.39,6.57,5.74,4.49,4.78,7.71,7.17,10.14,7.76,7.97,8.17,8.38,8.59,8.79
Caribbean small states,CSS,14.84,15.70,16.56,17.18,16.16,15.69,15.27,14.96,14.09,13.96,13.83,12.85,12.29,11.62,10.59,10.38,9.23,8.42,8.71,9.90,9.41,10.26,11.14,11.42,10.12,10.30,10.44,10.57
Cuba,CUB,8.27,8.27,8.27,8.27,8.27,8.27,7.61,7.10,6.23,6.26,5.45,4.08,3.31,2.33,1.85,1.95,1.91,1.79,1.58,1.67,2.50,3.18,3.46,3.29,2.70,2.40,2.02,1.64
Curacao,CUW,11.35,11.35,11.36,11.36,11.37,11.37,11.38,11.38,11.38,11.39,11.39,11.40,11.40,11.41,11.41,11.41,11.42,11.42,11.43,11.43,11.44,9.78,12.00,13.03,12.61,11.71,11.13,10.47
Cayman Islands,CYM,5.47,5.91,7.21,7.22,5.74,4.94,5.10,4.14,4.17,4.20,4.23,7.54,5.37,3.61,3.45,3.54,2.62,3.83,3.97,6.04,6.33,6.78,6.21,6.27,4.70,4.24,3.66,3.00
Cyprus,CYP,1.80,3.00,2.77,2.70,2.70,2.60,3.10,3.40,3.30,3.20,3.10,3.00,3.16,3.38,3.60,3.82,4.54,3.92,3.65,5.36,6.26,6.26,11.80,15.87,16.09,14.91,12.95,11.05
Czech Republic,CZE,0.70,2.00,2.60,3.27,3.48,3.69,3.90,4.12,4.33,4.54,4.75,4.97,5.18,5.39,5.60,5.81,6.03,6.24,6.45,6.66,7.28,6.71,6.98,6.95,6.11,5.05,3.95,2.89
Germany,DEU,4.89,4.92,5.08,5.24,5.39,5.55,5.71,5.86,6.02,6.18,6.33,6.49,6.65,6.80,6.96,7.12,7.27,7.43,7.59,7.74,6.97,5.82,5.38,5.23,4.98,4.62,4.12,3.75
Dominica,DMA,9.53,9.53,9.53,9.53,9.53,9.53,9.53,23.18,23.18,15.67,15.67,10.96,10.96,10.96,10.96,10.96,10.96,10.96,10.96,10.96,10.96,10.96,10.96,10.96,10.96,10.96,10.96,10.96
Denmark,DNK,3.88,4.00,4.11,4.23,4.34,4.46,4.57,4.68,4.80,5.14,4.48,4.91,5.05,5.18,5.32,5.46,5.60,5.73,5.87,6.01,7.46,7.57,7.53,7.00,6.59,6.17,6.18,5.74
Dominican Republic,DOM,6.57,6.56,6.54,6.53,6.52,6.50,6.49,6.48,6.47,6.45,6.43,7.26,7.57,6.94,6.30,6.59,5.65,5.16,4.76,5.47,5.21,6.09,6.72,7.35,6.72,6.93,6.93,5.83
Algeria,DZA,21.26,20.60,24.38,26.23,27.74,31.84,28.63,25.43,28.63,26.43,29.77,27.30,25.90,23.72,17.65,15.27,12.27,13.79,11.33,10.16,9.96,9.96,10.97,9.82,10.21,11.21,10.20,9.20
East Asia & Pacific (excluding high income),EAP,2.61,2.59,2.54,2.80,2.97,3.06,3.17,3.33,3.54,3.61,3.59,3.77,4.34,4.31,4.29,4.46,4.35,4.29,4.40,4.22,3.93,3.87,3.82,3.75,3.76,3.77,3.78,3.73
Early-demographic dividend,EAR,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,5.36,5.36,5.36,5.36,5.36,5.58,5.58,5.58,5.58,5.58,4.54,4.54,4.84,4.84,4.84,4.84,4.84,4.84
East Asia & Pacific,EAS,2.61,2.63,2.61,2.87,3.03,3.11,3.21,3.37,3.70,3.78,3.71,3.89,4.41,4.38,4.32,4.44,4.31,4.24,4.33,4.27,4.00,3.91,3.85,3.77,3.77,3.77,3.77,3.70
Europe & Central Asia (excluding high income),ECA,8.43,8.40,5.65,6.32,7.61,7.84,8.46,9.41,10.58,11.03,8.96,8.42,8.26,8.25,8.07,7.56,7.37,7.23,7.33,8.99,8.47,7.60,6.95,7.09,7.11,7.35,7.40,7.22
Ecuador,ECU,8.47,8.19,8.56,7.95,6.68,6.70,10.38,9.17,11.49,13.96,4.80,4.25,4.69,5.66,5.00,3.78,3.55,3.14,3.92,4.61,4.09,3.46,3.23,3.08,3.48,3.62,4.60,3.84
"Egypt, Arab Rep.",EGY,8.43,9.38,8.92,10.92,10.93,11.04,9.00,8.37,8.03,7.95,8.98,9.26,10.01,11.01,10.32,11.20,10.49,8.80,8.52,9.09,8.76,11.85,12.60,13.15,13.10,13.05,12.41,11.74
Euro area,EMU,10.51,10.51,10.51,10.51,10.50,10.50,10.50,10.50,10.50,10.50,10.50,10.50,10.50,10.50,10.50,10.49,10.49,10.49,10.49,9.48,10.04,10.13,11.30,11.93,11.60,10.83,10.03,9.05
Spain,ESP,22.33,22.30,22.26,22.22,22.19,22.15,22.11,22.07,22.04,22.00,21.96,21.93,21.89,21.85,21.82,21.78,21.74,21.70,21.67,17.86,19.86,21.39,24.79,26.09,24.44,22.06,19.63,17.22
Estonia,EST,0.64,1.42,3.48,5.54,7.60,9.66,9.91,10.37,13.10,12.80,12.50,12.19,11.89,11.58,11.28,10.98,10.67,4.59,5.45,13.55,16.71,12.33,10.02,8.63,7.35,6.19,6.76,5.76
Ethiopia,ETH,3.10,3.10,3.10,3.10,3.10,3.10,3.10,3.10,3.10,3.71,3.71,3.71,3.71,3.71,3.71,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.25,2.25,2.25,2.25,2.25
European Union,EUU,7.82,7.88,7.94,8.00,8.06,8.11,8.17,8.23,8.29,8.35,8.41,8.47,8.53,8.58,8.64,8.70,8.76,8.82,6.45,8.87,9.51,9.61,10.42,10.82,10.21,9.38,8.54,7.61
Finland,FIN,3.07,6.50,11.60,16.20,16.43,16.65,15.57,14.97,13.21,11.69,10.16,10.29,10.42,10.47,10.36,8.38,7.72,6.85,6.37,8.25,8.39,7.78,7.69,8.19,8.66,9.38,8.82,8.64
Fiji,FJI,5.75,5.93,5.35,5.88,5.70,5.40,5.78,6.16,6.54,6.92,7.30,7.68,8.06,8.22,4.70,3.89,4.90,5.91,8.94,8.72,8.91,4.41,9.00,7.53,6.17,4.81,4.32,3.83
France,FRA,7.94,9.13,10.21,11.32,12.59,11.84,12.37,12.57,12.07,11.98,10.22,8.61,8.70,8.31,8.91,8.49,8.45,7.66,7.06,8.74,8.87,8.81,9.40,9.92,10.29,10.36,10.06,9.40
Faroe Islands,FRO,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.00,4.00,3.85,3.70,3.70,3.70,3.70,3.70,3.70,3.70,3.70,3.70,3.70,3.70,3.70,3.70,3.70
"Micronesia, Fed. Sts.",FSM,8.86,8.86,8.86,8.86,8.86,8.86,8.86,8.86,8.86,8.86,8.86,8.86,8.86,8.86,8.86,8.86,8.86,8.86,8.86,8.86,8.86,8.86,8.86,8.86,8.86,8.86,8.86,8.86
Gabon,GAB,17.78,17.78,17.78,17.78,17.78,17.78,17.78,17.78,17.78,17.78,17.78,17.78,17.78,17.78,17.78,16.91,16.91,16.91,16.91,16.91,20.39,20.39,20.39,20.39,20.39,20.39,20.39,20.39
United Kingdom,GBR,13.20,12.90,12.60,12.30,12.01,11.71,11.41,11.11,10.81,10.52,10.22,9.92,9.62,9.32,9.03,8.73,8.43,8.13,5.61,7.54,7.79,8.04,7.89,7.53,6.11,5.30,4.81,4.33
Georgia,GEO,2.40,2.40,2.40,2.40,2.40,2.40,2.40,5.00,6.06,7.15,8.24,9.33,10.42,11.51,12.62,13.81,13.57,13.28,17.87,20.71,20.20,19.63,19.65,19.42,17.44,16.51,16.60,13.94
Ghana,GHA,4.70,4.70,4.70,4.70,4.70,4.70,4.70,4.70,8.20,10.10,10.36,10.36,10.36,10.36,10.36,10.36,4.64,4.64,4.64,4.64,5.32,5.32,5.32,2.17,2.17,6.81,6.81,6.81
Gibraltar,GIB,6.44,6.44,6.44,6.44,6.44,6.44,6.44,6.44,6.44,6.44,6.44,6.44,6.44,6.44,6.44,6.44,6.44,6.44,6.44,6.44,6.44,6.44,6.44,6.44,6.44,6.44,6.44,6.44
Guinea,GIN,4.55,4.55,4.55,4.55,4.55,4.55,4.55,4.55,4.55,4.55,4.55,4.55,4.55,4.55,4.55,4.55,4.55,4.55,4.55,4.55,4.55,4.55,4.55,4.55,4.55,4.55,4.55,4.55
Greece,GRC,7.02,7.53,7.84,8.61,8.86,9.06,9.66,9.58,10.84,11.85,11.25,10.64,9.97,9.41,10.31,9.99,9.01,8.40,7.76,9.62,12.71,17.86,24.44,27.47,26.49,24.90,23.54,21.49
