Country Name,Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Albania,ALB,30.65010644,29.98580552,29.3215046,28.65720368,27.99290276,27.32860184,26.66430092,26,25.33569908,25.12660027,25.68589973,27.6522007,25.96010017,29.81920052,27.30375808,27.32889761,27.35403715,27.37917668
Argentina,ARG,19.10160065,19.25470084,18.26980056,17.28490028,16.3,15.31509972,14.25179958,14.25179958,14.51669979,15.79969978,14.72669983,13.88840008,13.77890015,14.37650013,15.14070034,15.3,15.45929966,15.77690029
Australia,AUS,10.28999996,8.04999904,9.2,10.35000096,9.3,8.24999904,8.75999927,9.2699995,9.77999973,10.28999996,10.80000019,9.479999542,9.43999958,10.22000027,9.729999542,9.449999809,8.420000076,8.420000076
Austria,AUT,9.71,9.450000459,9.190000306,8.930000153,8.67,8.409999847,7.489999771,6.989999771,6.800000191,7.710000038,7.159999847,7.309999943,6.639999866,7.21999979,7.96999979,7.71999979,7.96999979,7.050000191
Belgium,BEL,8.279999733,8.279999733,8.279999733,8.279999733,8.279999733,12.48999977,10.15999985,10.18999958,9.18999958,10.48999977,10.78999996,11.60999966,12.5,13.23999977,12.57999992,12.53999996,10.05000019,9.970000267
Benin,BEN,2.24000001,2.24000001,2.24000001,2.24000001,2.24000001,2.24000001,2.24000001,2.24000001,2.24000001,2.24000001,2.24000001,10.89169979,10.89169979,10.89169979,10.89169979,10.89169979,10.89169979,10.89169979
Bangladesh,BGD,6.710000038,6.710000038,6.710000038,6.710000038,6.710000038,6.710000038,7.292200089,7.292200089,7.292200089,7.292200089,14.50030041,14.50030041,14.50030041,8.839500427,8.839500427,8.839500427,9.970000267,9.810799599
Bulgaria,BGR,27.52000046,27.52000046,27.52000046,27.52000046,22.89999962,23.65999985,19.88999939,17.70999908,15.56999969,18.10000038,20.29000092,21.76000023,21.56999969,22.06999969,19.19000053,18.62000084,17.06999969,13.56000042
Bosnia and Herzegovina,BIH,34.02959824,37.3729969,36.31839752,35.26379814,34.20919876,33.15459938,32.1,31.04540062,24.97649956,25.29560089,28.36059952,29.0352993,30.59539986,28.5,27.90909958,29.15999985,27.95999908,24.46999931
Belize,BLZ,6.03610525,6.65520486,7.27430447,7.89340408,8.51250369,9.1316033,9.75070291,10.36980252,10.98890213,11.60800174,12.22710135,12.84620096,13.46530057,14.08440018,14.70349979,13.87209988,15.03250027,14.85420036
Bolivia,BOL,5.068681051,4.946117724,4.823554398,4.700991072,4.578427745,5.458099842,3.854599953,4.114900112,4.004700184,3.299099922,3.299099922,4.121900082,3.418400049,4.119699955,3.756400108,6.762300014,4.756599903,5.021500111
Brazil,BRA,11.41909981,11.41909981,11.99650002,11.95170021,11.70320034,11.84300041,12.08010006,12.20820045,11.93379974,12.38689995,12.84000015,13.06439972,12.75389957,13.91670036,13.57499981,16.70120049,18.22439957,19.47270012
Canada,CAN,13.15130043,12.92210007,12.97229958,13.4435997,13.13199997,12.78829956,12.48410034,11.87310028,12.73830032,15.36830044,14.67770004,13.81779957,14.06239986,13.55249977,14.38239956,14.28880024,14.0710001,13.03299999
Central Europe and the Baltics,CEB,13.18526771,13.07297289,12.96067806,12.84838324,14.72394656,14.26291962,12.03164515,9.999753867,8.499708194,11.04397032,12.37745178,13.01411056,13.17230268,13.44983318,12.87243646,12.11486819,11.11290174,9.410560951
Switzerland,CHE,6.920000076,6.920000076,6.920000076,6.920000076,6.639999866,7.199999809,7.260000229,6.400000095,6.389999866,8.390000343,6.519999981,7.940000057,7.289999962,7.980000019,8.210000038,7.980000019,7.650000095,7.489999771
Chile,CHL,15.82000127,15.82340112,15.82680097,15.83020082,15.83360067,15.83700052,15.84040037,15.84380022,14.43109989,18.68280029,14.43789959,14.07919979,13.42210007,14.12899971,14.20720005,15.35690022,13.82110023,13.77799988
Cote d'Ivoire,CIV,8.097880488,8.271630698,8.445380908,8.619131118,8.792881328,8.966631538,9.140381748,9.314131958,9.487882168,9.661632378,9.835382588,10.0091328,11.75249958,7.217400074,12.1,16.98259993,23.69400024,23.69400024
Cameroon,CMR,9.494400024,8.995100021,8.495800018,7.996500015,7.497200012,6.997900009,6.498600006,5.999300003,5.5,5.000699997,4.679999828,6,7.320000172,8.640000343,10.53750038,10.53750038,10.53750038,10.53750038
Colombia,COL,16.51705405,16.28229449,16.04753494,15.81277538,15.57801582,15.34325626,15.1084967,14.87373714,14.63897759,14.40421803,14.44470024,14.14669991,13.55490017,13.34759998,13.20909977,12.02970028,12.75360012,13.29609966
Costa Rica,CRI,9.3609974,9.94489766,10.52879792,11.11269818,11.69659844,12.2804987,12.86439896,13.44829922,14.03219948,14.61609974,15.2,15.78390026,12.89120007,12.99919987,14.19260025,13.46450043,16.05500031,15.53989983
